Datetime,Latitude,Longitude,WindSpeed Ave (m/s),WindDir Ave (degrees),AirTemp Ave (C),RelHum Ave (%),AtmPress Ave (hPa),GlobalRad Ave (W/m2),Rain Tot (mm),AirTemp_flag,RelHum_flag,WindSpeed_flag,AtmPress_flag,GlobalRad_flag,WindDir_flag
2025-06-24 02:00:00,1.2994913,103.7705849,1.228650544145755,162.97357848279762,28.428,80.63666666666667,1002.915,0.1,0.0,0,0,0,0,0,0
2025-06-24 03:00:00,1.2994913,103.7705849,2.1444826463407014,153.65437399039433,28.550166666666662,81.65166666666667,1002.6066666666668,0.0833333333333333,0.0,0,0,0,0,0,0
2025-06-24 04:00:00,1.2994913,103.7705849,2.224656435368584,152.2493634694424,28.65233333333333,81.97,1002.5066666666668,0.5833333333333334,0.0,0,0,0,0,0,0
2025-06-24 05:00:00,1.2994913,103.7705849,2.284487078870739,150.9251823531581,28.65033333333333,82.56,1002.1833333333332,0.5,0.0,0,0,0,0,0,0
2025-06-24 06:00:00,1.2994913,103.7705849,2.310618983200438,153.60705398788332,28.6685,81.75666666666666,1002.405,0.3,0.0,0,0,0,0,0,0
2025-06-24 07:00:00,1.2994913,103.7705849,2.4202079062133857,153.5843765949985,28.79683333333333,79.76166666666667,1002.825,33.88333333333333,0.0,0,0,0,0,0,0
2025-06-24 08:00:00,1.2994913,103.7705849,2.994124976776058,150.68397377819002,29.288833333333333,78.82333333333332,1003.61,182.16666666666663,0.0,0,0,0,0,0,0
2025-06-24 09:00:00,1.2994913,103.7705849,3.430980666996742,153.34350527445667,29.85783333333333,76.86833333333334,1004.17,335.95,0.0,0,0,0,0,0,0
2025-06-24 10:00:00,1.2994913,103.7705849,2.749382900247001,156.31603275983502,30.855833333333333,73.39,1004.2133333333334,645.0166666666667,0.0,0,0,0,0,0,0
2025-06-24 11:00:00,1.2994913,103.7705849,2.803927654130808,161.57682329808904,31.4005,70.46333333333334,1003.875,710.0833333333334,0.0,0,0,0,0,0,0
2025-06-24 12:00:00,1.2994913,103.7705849,3.1329065209327696,167.2235804468421,31.5315,71.02,1003.495,754.1166666666667,0.0,0,0,0,0,0,0
2025-06-24 13:00:00,1.2994913,103.7705849,3.6828568996511537,177.472654668093,31.71183333333333,70.76666666666667,1003.145,882.1333333333333,0.0,0,0,0,0,0,0
2025-06-24 14:00:00,1.2994913,103.7705849,3.1277196259554083,158.46811760906223,32.062,68.78500000000001,1002.2383333333332,788.0333333333333,0.0,0,0,0,0,0,0
